name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thoai Son,2022-01-13,29.3,22.8,25.5,32.1,22.8,26.4,21.3,78.6,0.1,100,4.17,rain,0,0,35.3,13,75.2,1013.1,50.3,11.4,247.2,21.7,8,10,2022-01-13T06:20:16,2022-01-13T17:54:51,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-14,31,20.8,25.5,32.5,20.8,26.1,19.8,72.7,0,0,0,,0,0,25.2,13,65.2,1013,33.8,12.4,264.8,23.1,8,10,2022-01-14T06:20:30,2022-01-14T17:55:22,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999,remote"
Thoai Son,2022-01-15,30.3,21,25.5,32.3,21,26.2,20.1,73.6,0,0,0,,0,0,27,11.2,74.8,1012.5,37.6,11.7,258.3,22.5,8,10,2022-01-15T06:20:43,2022-01-15T17:55:53,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-16,31,22,25.9,32.4,22,26.6,20.2,72.5,0,0,0,,0,0,30.2,18.4,83.5,1012.3,36.2,11.7,267.7,23.3,8,10,2022-01-16T06:20:55,2022-01-16T17:56:23,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-17,30,22,26,33,22,27.3,21.4,76.4,0,0,0,,0,0,32.8,11.2,92.4,1012.3,54.1,11.1,227.4,19.7,8,10,2022-01-17T06:21:06,2022-01-17T17:56:52,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-18,31,23,26.3,34.6,23,27.7,21.9,77.5,0,0,0,,0,0,33.8,13,78.5,1011.5,39.1,10.7,258.4,22.6,8,10,2022-01-18T06:21:16,2022-01-18T17:57:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-19,30,23,25.9,32.1,23,26.8,21.5,77.9,0,0,0,,0,0,27.7,12.8,70,1010.8,46,10.4,263.5,22.9,8,10,2022-01-19T06:21:25,2022-01-19T17:57:51,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-20,31,21,25.7,33.7,21,26.8,21.4,78.8,0,0,0,,0,0,19.1,13,79.1,1010.3,41.4,10.8,265.7,23.1,8,10,2022-01-20T06:21:32,2022-01-20T17:58:19,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-21,31.1,22,26.5,34.6,22,27.8,21.6,75.8,0,0,0,rain,0,0,31,18.4,100.7,1010.7,34.7,10.7,272.1,23.6,8,10,2022-01-21T06:21:39,2022-01-21T17:58:47,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2022-01-22,31.2,21,26.1,34.5,21,27.2,21.4,76.9,0,0,0,rain,0,0,25.6,16.6,127.9,1009.8,37.9,11.9,273.2,23.8,8,10,2022-01-22T06:21:45,2022-01-22T17:59:15,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999,remote"
